Imatest,2020.2.0, , CPIQ Dot Chart Analysis
File,dotpattern_example.png
Run date,23-Oct-2020 17:30:49,,Build 2020-09-30

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 94.570564, degrees,
VFOV, 82.102242, degrees,
DFOV, 108.975172, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 1.144420
CPIQ Quality Loss, 0.633132
Maximum LCA in Pixels, 1.430526
Number of Dots, 330

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, 309.736752, 309.361027, 308.737564
, 213.120608, 212.858016, 212.427549
, 204.990671, 204.739287, 204.325601
, 213.121022, 212.858016, 212.427549
, 479.870141, 479.291268, 478.335322
, 479.870311, 479.291268, 478.335322
, 433.797981, 433.269979, 432.408281
, 433.797981, 433.269979, 432.408281
, 390.165520, 389.692663, 388.911863
, 350.064508, 349.637041, 348.935229
, 350.064508, 349.637041, 348.935229
, 390.165517, 389.692663, 388.911863
, 315.108200, 314.724042, 314.091189
, 287.339757, 286.986661, 286.411490
, 287.339757, 286.986661, 286.411490
, 315.108187, 314.724042, 314.091189
, 269.231076, 268.898988, 268.356515
, 262.904329, 262.581623, 262.052531
, 269.231076, 268.898988, 268.356515
, 512.290075, 511.671141, 510.653405
, 512.290104, 511.671141, 510.653405
, 469.706915, 469.137197, 468.204100
, 469.706915, 469.137197, 468.204100
, 430.066663, 429.543511, 428.688164
, 430.066784, 429.543511, 428.688164
, 394.379634, 393.898584, 393.109119
, 364.002841, 363.558271, 362.828757
, 364.003194, 363.558271, 362.828757
, 394.379634, 393.898584, 393.109119
, 340.500176, 340.084289, 339.403455
, 325.544754, 325.145486, 324.491018
, 320.394378, 320.001276, 319.355810
, 325.544675, 325.145486, 324.491018
, 340.500176, 340.084289, 339.403455
, 548.462677, 547.800555, 546.713736
, 548.462658, 547.800555, 546.713736
, 509.179448, 508.562941, 507.551779
, 509.179448, 508.562941, 507.551779
, 473.158081, 472.584424, 471.642526
, 473.158223, 472.584424, 471.642526
, 441.289923, 440.756222, 439.873915
, 414.653689, 414.151102, 413.323398
, 414.653753, 414.151102, 413.323398
, 441.289923, 440.756222, 439.873915
, 394.416775, 393.936493, 393.148000
, 381.714582, 381.247599, 380.486046
, 377.381879, 376.921579, 376.164472
, 381.714398, 381.247599, 380.486046
, 394.416775, 393.936493, 393.148000
, 587.665356, 586.953538, 585.787439
, 587.665581, 586.953538, 585.787439
, 551.389436, 550.723767, 549.627312
, 551.389436, 550.723767, 549.627312
, 518.558355, 517.931205, 516.902343
, 518.558329, 517.931205, 516.902343
, 489.917667, 489.323055, 488.350948
, 489.917667, 489.323055, 488.350948
, 466.308545, 465.746256, 464.816746
, 448.621297, 448.076192, 447.183336
, 437.620595, 437.091701, 436.218650
, 437.620709, 437.091701, 436.218650
, 448.621297, 448.076192, 447.183336
, 466.308445, 465.746256, 464.816746
, 433.891556, 433.366735, 432.500006
, 629.343083, 628.579279, 627.328342
, 629.343213, 628.579279, 627.328342
, 595.739649, 595.019517, 593.836957
, 595.739649, 595.019517, 593.836957
, 565.666186, 564.983787, 563.862768
, 565.666102, 564.983787, 563.862768
, 539.731724, 539.081514, 538.011480
, 539.731724, 539.081514, 538.011480
, 518.589598, 517.962559, 516.934897
, 502.905943, 502.296894, 501.300613
, 493.230636, 492.632747, 491.652495
, 493.230759, 492.632747, 491.652495
, 502.905943, 502.296894, 501.300613
, 518.589598, 517.962559, 516.934897
, 489.951593, 489.357590, 488.384824
, 673.108881, 672.290343, 670.952007
, 673.108852, 672.290343, 670.952007
, 641.820601, 641.043733, 639.772781
, 641.820601, 641.043733, 639.772781
, 614.095671, 613.353949, 612.141908
, 614.095944, 613.353949, 612.141908
, 590.420430, 589.707038, 588.543335
, 571.302444, 570.611186, 569.486522
, 571.302444, 570.611186, 569.486522
, 590.420430, 589.707038, 588.543335
, 557.195214, 556.523360, 555.425753
, 548.564590, 547.901182, 546.820937
, 545.653867, 544.992519, 543.917662
, 548.564591, 547.901182, 546.820937
, 557.195214, 556.523360, 555.425753
, 718.740198, 717.855886, 716.415850
, 718.740198, 717.855886, 716.415850
, 689.415762, 688.574320, 687.200519
, 689.415762, 688.574320, 687.200519
, 663.674705, 662.867951, 661.550834
, 641.858185, 641.078701, 639.810823
, 641.858185, 641.078701, 639.810823
, 663.674948, 662.867951, 661.550834
, 624.359345, 623.602073, 622.368092
, 611.556138, 610.813955, 609.610716
, 603.746582, 603.013701, 601.822288
, 601.117621, 600.388306, 599.203411
, 603.746491, 603.013701, 601.822288
, 611.556139, 610.813955, 609.610716
, 624.359361, 623.602073, 622.368092

Dot Center Coordinates, Green X Coordinate, Green Y Coordinate, Blue X Coord, Blue Y Coord, Red X Coord, Red Y Coord
, -600.033886, -114.249826, -598.851354, -114.027543, -600.763533, -114.385696 
, -600.299574, -57.148441, -599.113230, -57.038621, -601.029455, -57.214763 
, -600.388306, 0.000000, -599.203411, 0.000000, -601.117621, 0.000000 
, -600.299574, 57.148441, -599.113230, 57.038621, -601.029355, 57.214860 
, -600.033886, 114.249826, -598.851354, 114.027543, -600.763533, 114.385703 
, -599.108192, -228.147484, -597.924053, -227.694348, -599.837390, -228.422932 
, -599.625357, -171.257050, -598.438106, -170.920668, -600.353812, -171.463980 
, -599.625357, 171.257050, -598.438106, 170.920668, -600.353693, 171.464455 
, -599.108192, 228.147484, -597.924053, 227.694348, -599.837390, 228.422932 
, -597.903746, -341.534340, -596.712047, -340.850828, -598.633668, -341.953156 
, -598.517173, -284.905445, -597.328998, -284.337079, -599.247392, -285.248671 
, -598.517173, 284.905445, -597.328998, 284.337079, -599.247569, 285.248864 
, -597.903746, 341.534340, -596.712047, 340.850828, -598.633668, 341.953156 
, -597.357749, -398.096461, -596.163521, -397.291739, -598.094527, -398.585509 
, -597.357749, 398.096461, -596.163521, 397.291739, -598.094527, 398.585509 
, -544.892003, -57.344666, -543.817260, -57.235691, -545.551997, -57.411916 
, -544.992519, -0.000000, -543.917662, 0.000000, -545.653867, -0.000000 
, -544.892003, 57.344666, -543.817260, 57.235691, -545.551997, 57.411918 
, -544.142040, -171.774753, -543.069665, -171.435813, -544.801740, -171.981239 
, -544.592934, -114.615822, -543.518454, -114.391685, -545.250628, -114.753403 
, -544.592934, 114.615822, -543.518454, 114.391685, -545.250628, 114.753403 
, -544.142040, 171.774753, -543.069665, 171.435813, -544.801740, 171.981239 
, -543.519882, -228.780525, -542.448595, -228.326035, -544.178518, -229.054631 
, -543.519882, 228.780525, -542.448595, 228.326035, -544.178518, 229.054631 
, -542.051510, -342.223943, -540.978569, -341.542676, -542.710040, -342.636067 
, -542.810425, -285.586957, -541.739097, -285.020116, -543.468029, -285.930288 
, -542.810425, 285.586957, -541.739097, 285.020116, -543.468230, 285.930491 
, -542.051510, 342.223943, -540.978569, 341.542676, -542.710040, 342.636067 
, -541.301702, -398.706375, -540.226452, -397.909508, -541.961086, -399.191367 
, -541.301702, 398.706375, -540.226452, 397.909508, -541.960985, 399.191454 
, -488.956228, -114.995551, -487.985077, -114.773118, -489.549359, -115.133893 
, -489.260630, -57.541805, -488.286654, -57.430996, -489.854631, -57.609905 
, -489.357590, -0.000000, -488.384824, -0.000000, -489.951593, 0.000000 
, -489.260630, 57.541805, -488.286654, 57.430996, -489.854721, 57.610188 
, -488.956228, 114.995551, -487.985077, 114.773118, -489.549359, 115.133893 
, -488.452497, -172.335053, -487.482270, -171.996292, -489.044387, -172.542849 
, -488.452497, 172.335053, -487.482270, 171.996292, -489.044387, 172.542849 
, -487.026476, -286.377183, -486.059559, -285.809948, -487.615122, -286.722880 
, -487.803374, -229.470581, -486.834251, -229.016954, -488.392083, -229.746615 
, -487.803374, 229.470581, -486.834251, 229.016954, -488.392083, 229.746615 
, -487.026476, 286.377183, -486.059559, 285.809948, -487.614841, 286.723192 
, -486.169957, -343.055388, -485.204173, -342.372958, -486.760002, -343.468625 
, -486.169957, 343.055388, -485.204173, 342.372958, -486.760002, 343.468625 
, -485.288936, -399.507896, -484.322425, -398.713729, -485.877629, -399.994557 
, -485.288936, 399.507896, -484.322425, 398.713729, -485.877727, 399.994642 
, -433.261048, -57.740969, -432.395037, -57.630226, -433.786418, -57.809678 
, -433.366735, 0.000000, -432.500001, 0.000000, -433.892653, 0.000000 
, -433.261048, 57.740969, -432.395037, 57.630226, -433.786519, 57.809778 
, -432.455770, -172.920740, -431.591099, -172.579627, -432.978380, -173.130397 
, -432.956429, -115.416654, -432.092408, -115.191524, -433.484408, -115.552310 
, -432.956429, 115.416654, -432.092408, 115.191524, -433.484408, 115.552310 
, -432.455770, 172.920740, -431.591099, 172.579627, -432.978199, 173.130582 
, -431.791947, -230.201579, -430.933324, -229.745769, -432.316538, -230.482300 
, -431.791947, 230.201579, -430.933324, 229.745769, -432.316538, 230.482300 
, -430.100264, -343.962834, -429.244077, -343.277882, -430.622632, -344.376327 
, -430.992838, -287.224727, -430.136899, -286.654062, -431.515802, -287.571390 
, -430.992838, 287.224727, -430.136899, 286.654062, -431.515710, 287.571481 
, -430.100264, 343.962834, -429.244077, 343.277882, -430.622632, 344.376327 
, -429.165228, -400.414365, -428.312224, -399.619271, -429.686010, -400.900188 
, -429.165228, 400.414365, -428.312224, 399.619271, -429.685901, 400.900634 
, -376.055595, -173.503097, -375.303092, -173.158370, -376.512512, -173.712434 
, -376.528888, -115.810003, -375.774347, -115.581097, -376.988077, -115.950776 
, -376.817941, -57.948005, -376.064555, -57.836680, -377.279906, -58.016740 
, -376.921579, -0.000000, -376.164472, 0.000000, -377.381879, -0.000000 
, -376.817941, 57.948005, -376.064555, 57.836680, -377.279690, 58.016932 
, -376.528888, 115.810003, -375.774347, 115.581097, -376.988077, 115.950776 
, -376.055595, 173.503097, -375.303092, 173.158370, -376.512497, 173.712620 
, -375.410086, -230.940067, -374.658216, -230.478376, -375.865217, -231.218803 
, -375.410086, 230.940067, -374.658216, 230.478376, -375.865217, 231.218803 
, -374.631240, -288.075461, -373.884696, -287.501141, -375.087052, -288.423772 
, -374.631240, 288.075461, -373.884696, 287.501141, -375.087149, 288.423879 
, -373.753958, -344.882942, -373.011439, -344.196564, -374.208005, -345.299985 
, -373.753958, 344.882942, -373.011439, 344.196564, -374.208005, 345.299985 
, -372.822792, -401.358460, -372.083717, -400.561626, -373.274447, -401.842625 
, -372.822792, 401.358460, -372.083717, 400.561626, -373.274226, 401.842804 
, -319.904937, -58.141366, -319.260113, -58.029312, -320.298295, -58.210249 
, -320.001276, -0.000000, -319.355810, -0.000000, -320.394378, -0.000000 
, -319.904937, 58.141366, -319.260113, 58.029312, -320.298195, 58.210356 
, -319.196203, -174.035356, -318.553886, -173.689023, -319.587199, -174.247317 
, -319.621823, -116.186119, -318.980652, -115.957098, -320.013688, -116.325698 
