Imatest,2020.2.0, , Uniformity
File,uniformity_example.jpg
Run date,21-Oct-2020 19:24:27,,Build 2020-09-30
  0.875,  0.451,  0.453,  0.430,  0.469,  0.480,  0.467,  0.471,  0.462,  0.486,  0.443,  0.480,  0.467
  0.900,  0.444,  0.442,  0.416,  0.467,  0.470,  0.458,  0.464,  0.463,  0.473,  0.438,  0.469,  0.458
  0.925,  0.436,  0.430,  0.407,  0.463,  0.465,  0.451,  0.453,  0.450,  0.466,  0.431,  0.458,  0.450
  0.950,  0.428,  0.413,  0.393,  0.453,  0.453,  0.440,  0.446,  0.442,  0.459,  0.424,  0.450,  0.448
  0.975,  0.406,  0.388,  0.377,  0.430,  0.430,  0.424,  0.440,  0.433,  0.458,  0.403,  0.440,  0.437
  1.000,  0.376,  0.357,  0.354,  0.398,  0.401,  0.399,  0.432,  0.429,  0.452,  0.385,  0.426,  0.432

Profiles (cross-sections) Y (Luma) unnormalized (max 1)
Distance,UL-LR, LL-UR, T-B, L-R
  0.000,  0.366,  0.342,  0.452,  0.412
  0.025,  0.392,  0.372,  0.462,  0.421
  0.050,  0.410,  0.398,  0.467,  0.427
  0.075,  0.425,  0.415,  0.473,  0.433
  0.100,  0.433,  0.426,  0.478,  0.440
  0.125,  0.438,  0.436,  0.482,  0.449
  0.150,  0.444,  0.446,  0.489,  0.454
  0.175,  0.450,  0.454,  0.492,  0.461
  0.200,  0.456,  0.463,  0.496,  0.468
  0.225,  0.462,  0.468,  0.499,  0.474
  0.250,  0.469,  0.475,  0.503,  0.479
  0.275,  0.476,  0.480,  0.506,  0.485
  0.300,  0.483,  0.488,  0.508,  0.491
  0.325,  0.489,  0.494,  0.511,  0.495
  0.350,  0.495,  0.503,  0.514,  0.502
  0.375,  0.500,  0.505,  0.515,  0.506
  0.400,  0.500,  0.508,  0.518,  0.507
  0.425,  0.511,  0.512,  0.517,  0.511
  0.450,  0.514,  0.515,  0.518,  0.514
  0.475,  0.515,  0.518,  0.519,  0.515
  0.500,  0.517,  0.517,  0.516,  0.517
  0.525,  0.521,  0.519,  0.520,  0.518
  0.550,  0.521,  0.519,  0.519,  0.519
  0.575,  0.521,  0.519,  0.519,  0.519
  0.600,  0.520,  0.518,  0.518,  0.518
  0.625,  0.517,  0.518,  0.516,  0.519
  0.650,  0.513,  0.514,  0.514,  0.517
  0.675,  0.508,  0.511,  0.512,  0.515
  0.700,  0.503,  0.507,  0.509,  0.512
  0.725,  0.497,  0.503,  0.503,  0.508
  0.750,  0.491,  0.500,  0.499,  0.502
  0.775,  0.486,  0.497,  0.493,  0.497
  0.800,  0.479,  0.492,  0.488,  0.491
  0.825,  0.468,  0.486,  0.479,  0.485
  0.850,  0.461,  0.483,  0.473,  0.477
  0.875,  0.451,  0.477,  0.465,  0.471
  0.900,  0.440,  0.469,  0.464,  0.461
  0.925,  0.430,  0.464,  0.452,  0.452
  0.950,  0.414,  0.452,  0.444,  0.444
  0.975,  0.391,  0.430,  0.436,  0.432
  1.000,  0.361,  0.400,  0.431,  0.418

Optical center pixels, 1838.59, 1201.68
Optical ctr offset pixels,  206.09,  -22.82
Optical ctr offset pct,   12.62,   -1.86,PCT center-to-edge


Exif data
File Modification Date/Time     , 2020:10:01 05:25:34+03:00
Color Space                     , sRGB
Image Width                     , 3264
Image Height                    , 2448
