Imatest,2020.2.0,,Random
File,random_example.jpg
Run date,21-Oct-2020 12:45:27,,Build 2020-09-30

Image pixels (WxH),1680,1260
Crop,1214,1214
L R T B, 234,1447,24,1237
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,NaN Cy/Pxl,Secondary readout
MTF20,NaN Cy/Pxl,Secondary readout 2
MTF20,NaN Cy/Pxl,Secondary readout 3

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
   15,100.00,  0.93
   16,100.00,  0.92
   17,100.00,  0.92
   18,100.00,  0.92
   19,100.00,  0.91
   20,100.00,  0.91
   21,100.00,  0.91
   22,100.00,  0.90
   23,100.00,  0.90
   24,100.00,  0.90
   25,100.00,  0.89
   26,100.00,  0.89
   27,100.00,  0.89
   28,100.00,  0.88
   29,100.00,  0.88
   30,100.00,  0.88
   31,100.00,  0.87
   32,100.00,  0.87
   33,100.00,  0.86
   34,100.00,  0.86
   35,100.00,  0.85
   36,100.00,  0.85
   37,100.00,  0.85
   38,100.00,  0.84
   39,100.00,  0.84
   40,100.00,  0.83
   41,100.00,  0.83
   42,100.00,  0.82
   43,100.00,  0.82
   44,100.00,  0.81
   45,100.00,  0.81
   46,100.00,  0.80
   47,100.00,  0.79
   48,100.00,  0.79
   49,100.00,  0.78
   50,100.00,  0.78
   51,100.00,  0.77
   52,100.00,  0.77
   53,100.00,  0.76
   54,100.00,  0.76
   55,100.00,  0.75
   56,100.00,  0.74
   57,100.00,  0.74
   58,100.00,  0.73
   59,100.00,  0.73
   60,100.00,  0.72
   61,100.00,  0.72
   62,100.00,  0.71
   63,100.00,  0.71
   64,100.00,  0.70
   65,100.00,  0.69
   66,100.00,  0.69
   67,100.00,  0.68
   68,100.00,  0.68
   69,100.00,  0.67
   70,100.00,  0.67
   71,100.00,  0.66
   72,100.00,  0.66
   73,100.00,  0.65
   74,100.00,  0.64
   75,100.00,  0.64
   76,100.00,  0.63
   77,100.00,  0.63
   78,100.00,  0.62
   79,100.00,  0.62
   80,100.00,  0.61
   81,100.00,  0.61
   82,100.00,  0.60
   83,100.00,  0.60
   84,100.00,  0.59
   85,100.00,  0.59
   86,100.00,  0.58
   87,100.00,  0.58
   88,100.00,  0.57
   89,100.00,  0.57
   90,100.00,  0.56
   91,100.00,  0.56
   92,100.00,  0.55
   93,100.00,  0.55
   94,100.00,  0.55
   95,100.00,  0.54
   96,100.00,  0.54
   97,100.00,  0.53
   98,100.00,  0.53
   99,100.00,  0.52
  100,100.00,  0.52
Use unnormalized MTF for Acutance calculation
CPIQ Results
Computer Monitor Acutance,0.760,
Computer Monitor Quality Loss,2.976,
5.5" Phone Display Acutance,0.862,
5.5" Phone Display Quality Loss,0.894,
UHDTV Display Acutance,0.640,
UHDTV Display Quality Loss,7.004,
Small Print Acutance,0.478,
Small Print Quality Loss,15.261,
Large Print Acutance,0.396,
Large Print Quality Loss,20.807,
Gamma, 0.5
Color channel, Y
Max detected f (c/p), 0.498

Exif data
File Modification Date/Time     , 2020:10:01 05:25:34+03:00
Image Width                     , 1680
Image Height                    , 1260
