Imatest,2020.2.0,,Star
File,star_example.jpg
Run date,30-Oct-2020 19:53:19,,Build 2020-09-30

Image pixels (WxH),3888,2592
Crop,783,719
L R T B, 2305,3087,922,1640
pixels/in,0
pixels/mm,0
um/pixel,0
Color channel, Y
Gamma, 0.5, (input), used
Gamma, 0.453, (chart calc.), not used
Max detected f (c/p), 0.628
Segments to analyze, 8
Star type, Full circle
MTF30,0.351 Cy/Pxl,Secondary readout

MTF unsmoothed for 64 radii
N,Radius, f (C/P), Mean, Seg 1, Seg 2, Seg 3, Seg 4, Seg 5, Seg 6, Seg 7, Seg 8
37,  0.2710,  0.7189,  0.8199,  0.5603,  0.7767,  0.7218,  0.7882,  0.5768,  0.7785,  0.7266
39,  0.2822,  0.6661,  0.7892,  0.4942,  0.7168,  0.6656,  0.7608,  0.5151,  0.7126,  0.6693
41,  0.2934,  0.6094,  0.7524,  0.4356,  0.6437,  0.6058,  0.7263,  0.4599,  0.6438,  0.6004
43,  0.3045,  0.5493,  0.7083,  0.3768,  0.5657,  0.5383,  0.6859,  0.4042,  0.5739,  0.5324
45,  0.3157,  0.4875,  0.6570,  0.3160,  0.4971,  0.4632,  0.6441,  0.3442,  0.4991,  0.4691
47,  0.3268,  0.4267,  0.5997,  0.2569,  0.4385,  0.3900,  0.6003,  0.2868,  0.4231,  0.4066
49,  0.3380,  0.3669,  0.5403,  0.1946,  0.3788,  0.3229,  0.5505,  0.2309,  0.3545,  0.3502
51,  0.3492,  0.3093,  0.4768,  0.1438,  0.3127,  0.2647,  0.4877,  0.1786,  0.2948,  0.3035
53,  0.3603,  0.2584,  0.4122,  0.1232,  0.2493,  0.2192,  0.4171,  0.1428,  0.2416,  0.2508
55,  0.3715,  0.2148,  0.3499,  0.1138,  0.1986,  0.1838,  0.3512,  0.1246,  0.1948,  0.1918
57,  0.3827,  0.1763,  0.2843,  0.1008,  0.1550,  0.1555,  0.2913,  0.1125,  0.1534,  0.1486
59,  0.3938,  0.1415,  0.2197,  0.0869,  0.1138,  0.1326,  0.2336,  0.0996,  0.1164,  0.1216
61,  0.4050,  0.1114,  0.1620,  0.0759,  0.0795,  0.1150,  0.1792,  0.0866,  0.0843,  0.1024
63,  0.4162,  0.0848,  0.1120,  0.0655,  0.0532,  0.0970,  0.1298,  0.0733,  0.0573,  0.0854
65,  0.4273,  0.0606,  0.0723,  0.0535,  0.0336,  0.0744,  0.0881,  0.0563,  0.0379,  0.0654
67,  0.4385,  0.0424,  0.0441,  0.0440,  0.0226,  0.0553,  0.0579,  0.0384,  0.0267,  0.0481
69,  0.4496,  0.0311,  0.0247,  0.0373,  0.0184,  0.0434,  0.0374,  0.0280,  0.0187,  0.0398
71,  0.4608,  0.0247,  0.0135,  0.0311,  0.0155,  0.0381,  0.0220,  0.0255,  0.0124,  0.0386
